"date","city","SO2","CO","NO2","O3","PM10","SO2_d1_rate","SO2_d2_rate","SO2_d3_rate","SO2_d4_rate","CO_d1_rate","CO_d2_rate","CO_d3_rate","CO_d4_rate","O3_d1_rate","O3_d2_rate","O3_d3_rate","O3_d4_rate","NO2_d1_rate","NO2_d2_rate","NO2_d3_rate","NO2_d4_rate","PM10_d1_rate","PM10_d2_rate","PM10_d3_rate","PM10_d4_rate","temp","temp_range","rain","ws_mean","ws_max","ws_mont_max","dew_point_temp","humidity","air_press","sunshn_time","snow","cloud_amt","surface_temp"
"2010-02-11","서울",0.003,0.4,0.03,0.016,9.5,-0.666666666666667,-1.33333333333333,-2,-1.33333333333333,-0.75,-1.75,-2,-1.25,0.8125,0.875,0.875,0.8125,-0.5,-0.666666666666667,-1.1,-0.9,-2.68421052631579,-5.42105263157895,-5.21052631578947,-4.89473684210526,0.6,4.3,10.5,3.3,5.7,10.1,-1.8,84.4,1009.5,0,7.1,9.6,0.3
"2010-02-12","서울",0.003,0.5,0.034,0.014,17,0,-0.666666666666667,-1.33333333333333,-2,0.2,-0.4,-1.2,-1.4,-0.142857142857143,0.785714285714286,0.857142857142857,0.857142857142857,0.11764705882353,-0.323529411764706,-0.470588235294118,-0.852941176470588,0.441176470588235,-1.05882352941176,-2.58823529411765,-2.47058823529412,-0.3,2.9,0.3,2.1,4.7,6.7,-3,82,1013.8,0,6.4,9.6,0.1
"2010-02-13","서울",0.004,0.4,0.024,0.026,31,0.25,0.25,-0.25,-0.75,-0.25,0,-0.75,-1.75,0.461538461538462,0.384615384615385,0.884615384615385,0.923076923076923,-0.416666666666667,-0.25,-0.875,-1.08333333333333,0.451612903225806,0.693548387096774,-0.129032258064516,-0.967741935483871,-2.3,3,1.3,3,5,7.5,-7.2,69.8,1015.7,6.4,8.6,4.4,0.2
"2010-02-14","서울",0.005,0.5,0.036,0.017,35,0.2,0.4,0.4,0,0.2,0,0.2,-0.4,-0.529411764705882,0.176470588235294,0.0588235294117648,0.823529411764706,0.333333333333333,0.0555555555555554,0.166666666666667,-0.25,0.114285714285714,0.514285714285714,0.728571428571429,0,-2.2,6.2,0,1.6,3.5,6.1,-12.3,47.3,1017.8,0,6,7,0.1
"2010-02-15","서울",0.007,0.6,0.028,0.024,58,0.285714285714286,0.428571428571429,0.571428571428571,0.571428571428571,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.291666666666667,-0.0833333333333333,0.416666666666667,0.333333333333333,-0.285714285714286,0.142857142857143,-0.214285714285714,-0.0714285714285714,0.396551724137931,0.46551724137931,0.706896551724138,0.836206896551724,-3.1,5.7,0,2.6,5.1,8.2,-12.3,49.9,1015.7,4.2,5.2,3.5,0
"2010-02-16","서울",0.005,0.5,0.033,0.018,43,-0.4,0,0.2,0.4,-0.2,0,0.2,0,-0.333333333333333,0.0555555555555554,-0.444444444444444,0.222222222222222,0.151515151515152,-0.0909090909090908,0.272727272727273,-0.0303030303030303,-0.348837209302326,0.186046511627907,0.27906976744186,0.604651162790698,-4.5,7.6,0,2.7,4.9,7.4,-15.1,44.6,1017.5,9.7,4.9,1.8,-0.8
"2010-02-17","서울",0.007,0.7,0.052,0.008,52,0.285714285714286,0,0.285714285714286,0.428571428571429,0.285714285714286,0.142857142857143,0.285714285714286,0.428571428571428,-1.25,-2,-1.125,-2.25,0.365384615384615,0.461538461538462,0.307692307692308,0.538461538461538,0.173076923076923,-0.115384615384615,0.326923076923077,0.403846153846154,-3.2,7.5,0.2,1.9,6.1,9.5,-12,52,1014,0.8,4,7.8,-1.6
"2010-02-18","서울",0.006,0.5,0.031,0.018,60,-0.166666666666667,0.166666666666667,-0.166666666666667,0.166666666666667,-0.4,0,-0.2,0,0.555555555555555,0,-0.333333333333333,0.0555555555555554,-0.67741935483871,-0.0645161290322581,0.0967741935483871,-0.161290322580645,0.133333333333333,0.283333333333333,0.0333333333333333,0.416666666666667,-2.9,3.4,2.5,3.2,6.6,12.3,-11.6,55.9,1011.7,7.1,8.8,3.4,-0.2
"2010-02-19","서울",0.007,0.6,0.048,0.007,57,0.142857142857143,0,0.285714285714286,0,0.166666666666667,-0.166666666666667,0.166666666666667,0,-1.57142857142857,-0.142857142857143,-1.57142857142857,-2.42857142857143,0.354166666666667,-0.0833333333333333,0.3125,0.416666666666667,-0.0526315789473684,0.087719298245614,0.245614035087719,-0.0175438596491228,-1,7.2,0,2.4,5,8.1,-9.4,54.5,1009.5,9.4,4.1,1.9,-0.7
"2010-02-20","서울",0.009,0.9,0.058,0.004,75,0.222222222222222,0.333333333333333,0.222222222222222,0.444444444444444,0.333333333333333,0.444444444444444,0.222222222222222,0.444444444444444,-0.75,-3.5,-1,-3.5,0.172413793103448,0.46551724137931,0.103448275862069,0.431034482758621,0.24,0.2,0.306666666666667,0.426666666666667,3,9.7,0,1.8,5.8,7.4,-3.2,65.3,1010.7,9.4,2.5,0,0.4
"2010-02-21","서울",0.007,0.7,0.053,0.008,66,-0.285714285714286,0,0.142857142857143,0,-0.285714285714286,0.142857142857143,0.285714285714286,0,0.5,0.125,-1.25,0,-0.0943396226415095,0.0943396226415094,0.415094339622641,0.0188679245283019,-0.136363636363636,0.136363636363636,0.0909090909090909,0.212121212121212,4.8,9.6,0,2.2,4.7,7.4,-3.5,57.1,1009.3,6.7,0,2.1,1.8
